Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer Estimate,Salary Currency,min_salary,max_salary,avg_salary,Company
Data Scientist,CA$86K - CA$111K (Glassdoor est.),"Company Description

As a trusted partner to the world’s leading loyalty programs, Points builds, powers, and grows new ways for members to get and use their favorite loyalty currency.
More than 1 billion loyalty program members touch our products through brands like Hilton, Air Canada, Lyft, British Airways, United Airlines, Air France-KLM, Chase Bank, Etihad Airways, and many more. Our team of 250+ people across 5 global offices works together to build and launch new solutions, solve complex challenges for our partners, and create a one-of-a-kind company culture.

Job Description",5.0,"Points
5.0",,Toronto,Unknown,,Company - Private,,,Unknown / Non-Applicable,0,0,CAD,86.0,111.0,98.5,Points
Data Scientist,CA$53K - CA$61K (Glassdoor est.),"Job Description:
The Company:
Here at Rakuten Kobo Inc. we offer a casual working start-up environment and a group of friendly and talented individuals. Our employees rank us highly in terms of commitment to work/life balance. We realize that for our people to be innovative, creative and passionate they need to feel valued and supported. We believe in rewarding all our employees with competitive salaries, performance based annual bonuses, stock options and training opportunities.
If you’re looking for a company that inspires passion, personal, and professional growth – join Kobo and come help us make reading lives better.
The Role:
Rakuten Kobo Inc. is seeking a Data Scientist to join our Big Data team. Reporting to the Manager of Data Science & Analytics, you will bring your background and expertise of applying statistical modelling techniques in the context of e-commerce to assist Kobo with evaluating and improving our many consumer facing services & products. Responsibilities include proposing specific approaches, techniques and models to deploy against both very directed and very ambiguous questions from our business stakeholders, hands on coding & data wrangling, working with technical teams to build and improve data pipelines, and presenting findings, outcomes, or next steps to stakeholders.",3.4,"Rakuten
5.0",,Toronto,10000+ Employees,1997.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,0,CAD,53.0,61.0,57.0,Rakuten
,CA$70K - CA$80K (Employer est.),,-1.0,-1,,,201 to 500 Employees,,Company - Private,,,$5 to $25 million (USD),0,1,CAD,70.0,80.0,75.0,-1
Business Data Scientist Co-Op/Intern,CA$87K - CA$96K (Glassdoor est.),"At Kinaxis, who we are is grounded in our common belief that people matter. Each one of us plays an important part in accomplishing our work, building our culture and making a global impact.
Every day, we're empowered to work together to help our customers make fast, confident planning decisions. This is how we create a better planet – for each other, for our customers and for generations to come. Our cloud-based platform RapidResponse ensures that the products we need – everything from medicine and cars, to day-to-day items like toothpaste – make it to market and into our hands when we need them with minimal ecological footprint.
We make the world better, and you can too.
Business Data Scientist Co-Op/Intern",4.5,"Kinaxis
4.5",,Toronto,501 to 1000 Employees,1984.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,CAD,87.0,96.0,91.5,Kinaxis
Data Scientist,CA$63K - CA$120K (Glassdoor est.),"Data Scientist

Granify is a rapidly growing technology company at the intersection of e-commerce, machine intelligence, and psychology. We’ve received investment from top investors, built a world-class team and a world-class product, and in the last year alone we generated over $650 million in incremental sales for many of the world's largest retailers!

We’re searching for an experienced Data Scientist (4+ years of experience) who values mastery, authenticity, and positivity to help build and grow our product. As a key member of our Data Science team, you will work with and analyze vast amounts of behaviour and transaction data, and design and implement algorithms which predict e-commerce shopper actions and needs. This includes - but goes well beyond - recommendations. This is an amazing opportunity to design algorithms which will be responsible for helping and influencing real shoppers across the world in real-time! We have access to and act on millions of shopper sessions per day. If you are a highly technical, hands-on, and mission-driven person who has a passion for solving problems in the area of ML/AI and e-commerce optimization, then this is the role for you.",4.5,"Granify
4.5",,Edmonton,51 to 200 Employees,2010.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,CAD,63.0,120.0,91.5,Granify
Data Scientist,CA$49K - CA$57K (Glassdoor est.),"A little bit about GeoComply

At GeoComply, our mission is to empower the future of digital trust. We operate at the center of a new generation of cybersecurity companies, leveraging today's geolocation data to make better risk-based decisions. Working as a critical piece of the security infrastructure for some of the world’s largest tech companies like DraftKings, FanDuel, the BBC, and Akamai, we are the global market leader for compliance-grade geolocation data and a critical piece of the decision engine. We have big plans for the next few years, including a targeted US IPO and various M&A opportunities.

At the heart of it all is people - we are deeply committed to creating and sustaining a world-class experience for our employees, customers, and partners.

Job Summary",4.3,"GeoComply
4.3",,Vancouver,501 to 1000 Employees,2011.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,CAD,49.0,57.0,53.0,GeoComply
Data Scientist,CA$66K - CA$105K (Glassdoor est.),"Come Work with Us!

At RBC, our culture is deeply supportive and rich in opportunity and reward. You will help our clients thrive and our communities prosper, empowered by a spirit of shared purpose.

Whether you’re helping clients find new opportunities, developing new technology, or providing expert advice to internal partners, you will be doing work that matters in the world, in an environment built on teamwork, service, responsibility, diversity, and integrity.
Job Title
Data Scientist
Job Description
TORONTO, Ontario, Canada
CAN-ON-TORONTO
Canada
37.5
Full time
Regular
Salaried
2022-03-16-07:00
2022-05-12-07:00",4.0,"Royal Bank of Canada
4.1",,Toronto,10000+ Employees,1869.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,CAD,66.0,105.0,85.5,Royal Bank of Canada
Data Scientist (Co-Op) Canada,CA$97K - CA$113K (Glassdoor est.),"What You’ll Do
Acquire, clean and structure data from various sources and maintain databases/data systems.
Identify, analyze, and interpret trends or patterns in complex data sets.
Develop, prototype and test predictive algorithms.
Filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and accurate code problems.
Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.
Interpret data, analyze results using statistical techniques and provide ongoing reports.",4.3,"Cisco Systems
4.3",,Toronto,10000+ Employees,1984.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,0,CAD,97.0,113.0,105.0,Cisco Systems
Data Scientist - Remote Canada,CA$54K - CA$88K (Glassdoor est.),"Data Scientist - Remote Canada
As a Data Scientist working at TTEC Digital, you will work on a team with diverse clients and industries to create data-driven segmentations, develop cutting edge algorithms, curate predictive and descriptive customer features, and provide expert insight to increase our understanding of customer behavior and needs. You will help clients turn data into actionable insights that drive tangible outcomes, improve performance and help clients lead the market. This position requires in-depth understanding and use of statistical and data analysis tools.
What you'll be doing:
Work within our proprietary big data cloud computing platform;
Participate in the development, validation and delivery of machine learning algorithms and statistical models;
: CA-ON-London
: Consulting
: Canada
JSGYM-TE",4.8,"TTEC Digital
4.8",,London,1001 to 5000 Employees,2011.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,CAD,54.0,88.0,71.0,TTEC Digital
Data Scientist II – Applied Machine Learning,CA$80K - CA$100K (Glassdoor est.),"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data.",4.0,"TD Bank
4.0",,Toronto,10000+ Employees,1855.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,CAD,80.0,100.0,90.0,TD Bank
Data Scientist Co-op (January 2023 - August 2023),CA$64K - CA$92K (Glassdoor est.),"Vancouver, Canada
Data Science
No
2220

Overview

Co-op placement periods:
January 2023 - August 2023 (8 months)

Visier is the leader in people analytics. We are passionate about a 'people first' approach to business strategy and our addictive technology is transforming the way that organizations make decisions. Recently closing a hugely successful funding round and a landmark $1b valuation, Visier is embarking on an incredible phase of its 11 year growth Journey. To accelerate our momentum, we are looking for a highly ambitious Data Scientist Co-op to join us.




What You'll be Doing...




What You'll Bring to the Table...",4.2,"Visier Inc.
4.2",,Vancouver,501 to 1000 Employees,2010.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,CAD,64.0,92.0,78.0,Visier Inc.
Data Scientist,CA$7K - CA$8K (Employer est.),"About Us
Minpraxis Solutions focuses on transferring cutting-edge R&D into real solutions for mine developers and operators. As an award-winning Vancouver-based company we deliver transformative products and engineering to the minerals industry.
We are looking for a self-starting individual who is eager to apply their data science and signal processing skills to the development of an exciting new mining technology.
About the Role
This position is ideal for a data scientist who wants to be a part of a small and dynamic team. Working closely with the founding team, you will be working directly with the CEO, COO and a coder to help deliver a new and exciting product to the market.",-1.0,Minpraxis Solutions Ltd.,,Vancouver,,,,,,,0,1,CAD,7.0,8.0,7.5,Minpraxis Solutions Ltd.
Data Analyst,CA$53K - CA$89K (Glassdoor est.),"Spire Global is a space-to-cloud analytics company that owns and operates the largest multi-purpose constellation of satellites. Its proprietary data and algorithms provide the most advanced maritime, aviation, and weather tracking in the world. In addition to its constellation, Spire's data infrastructure includes a global ground station network and 24/7 operations that provide real-time global coverage of every point on Earth.
We are looking for a Data Analyst to help build world-class customer-centric data products that solve government, industry, and customer problems. This is a person who has the experience to run deep analyses on complex data sets to discover pattern and movement behaviours about maritime targets and ships, implement data key performance indicators (KPIs), create reports, documents, and design visualization dashboards. The person will have the opportunity to build the data analysis practice to support both the RFGL Target Services product and broader Spire Product Management. This is a role where you will have the opportunity to wear multiple hats and collaborate across multiple functions.",3.0,"Spire
3.1",,Cambridge,201 to 500 Employees,2012.0,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,0,0,CAD,53.0,89.0,71.0,Spire
DATA ANALYST & INTEGRATOR,CA$39.92 - CA$43.71 Per Hour(Employer est.),"Job Category: Information & Technology
Division & Section: Parks, Forestry & Recreation, PFR Policy & Strategic Planning
Work Location: Metro Hall, 55 John Street
Job Type & Duration: Full-time, 1 Permanent, 3 Temporary vacancies
Hourly Rate: $39.92 - $43.71, Wage Grade 12
Shift Information: Monday to Friday, 35 hours per week
Affiliation: L79 Full-time
Number of Positions Open: 4
Posting Period: 09-NOV-2022 to 24-NOV-2022

Are you interested in contributing to the quality of life in Toronto by providing decision makers with sound evidence? If you are a data science, analytics, and research professional who is interested in using your skills and experience to contribute towards the quality of life of Torontonians, please read on.",4.1,"City of Toronto
4.1",,Toronto,10000+ Employees,,Government,National Agencies,Government & Public Administration,$10+ billion (USD),1,1,CAD,39.92,43.71,41.815,City of Toronto
Data Analyst,CA$19.16 - CA$60.66 Per Hour(Employer est.),"Qualifications
Bachelor's Degree or master’s degree in Computer Science, Mathematics, Statistics
4+ years of experience working as Data Analysts
Ability to write good SQL for data analysis must – Netezza , Snowflake , Oracle etc
Understanding financial data elements and sensitivity classification  (PII , PCI, PHI, etc ) is a must
Self-learner and ability to work independently is a must
Exposure Programming language – Python good to have
Exposure to Data Science is goo to have",-1.0,sena technologies,,Remote,,,,,,,1,1,CAD,19.16,60.66,39.91,sena technologies
RES O 27R - Data Scientist,CA$73K - CA$83K (Employer est.),"Posting Title
RES O 27R - Data Scientist
Position Classification
Research Officer R27
Union
GEU
Location
Cranbrook, BC V1C 7G5 CA
Fort St John, BC V1J6M7 CA
Kamloops, BC V2H 1B7 CA
Multiple Locations, BC CA (Primary)
Nanaimo, BC V9T 6L8 CA
Nelson, BC V1L 6K1 CA
Prince George, BC V2N4P7 CA
Surrey, BC V4P 1M5 CA
Victoria, BC V9B 6X2 CA
Williams Lake, BC V2G 5M1 CA",3.8,"BC Public Service
3.8",,Cranbrook,10000+ Employees,,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,CAD,73.0,83.0,78.0,BC Public Service
Senior Data Scientist,CA$88K - CA$109K (Glassdoor est.),"Who we are: Breathe BioMedical is an innovative medical technology company located in Moncton, New Brunswick. We have developed a platform technology for breath analysis that is fast, powerful, and highly sensitive. With our patented breath analysis technology, we are currently developing a breath test for lung cancer screening and researching additional non-invasive diagnostic tests.
Our mission: To empower people with a simple breath test that provides early detection of cancer and other diseases.
Breathe BioMedical is looking to hire a full-time senior data scientist, who will lead the data analytics at BBM with the chief responsibility of developing breath-based diagnostics and screening tools based on spectroscopic data. This will involve using principles of data science and machine learning to mine data, conduct statistical analyses and develop novel classification/regression algorithms. This position is also responsible for performing analyses to inform clinical and research work from study design to final analysis. You will guide a cross-disciplinary team in developing data evaluation tools, maintaining data quality and data integrity. Additionally, you will create reports and publications individually or in collaboration with others.",3.0,"Breathe BioMedical
3.0",,Moncton,1 to 50 Employees,,Company - Public,,,Unknown / Non-Applicable,0,0,CAD,88.0,109.0,98.5,Breathe BioMedical
Data Specialist,CA$58K - CA$62K (Glassdoor est.),"Why work for Lafarge?:

As the global leader in innovative and sustainable building materials, we’re committed to shaping a greener, smarter and healthier world. At Lafarge Canada Inc., safety comes first, collaboration matters and diversity is celebrated with people who share our desire to continually make our materials better.

Do you have the drive, the skills, and the passion to join us?

Overview:

The primary objective of this role is to provide critical actionable data and analytics for identifying technical business growth and operational opportunities based on deep understating of multiple layers of data, such as RMX trucks sensors, plants vs field data.


Responsibilities:













Qualifications:


LafargeHolcim:",3.8,"Lafarge Canada Inc
3.8",,Mississauga,10000+ Employees,2015.0,Company - Public,Construction,"Construction, Repair & Maintenance Services",$10+ billion (USD),0,0,CAD,58.0,62.0,60.0,Lafarge Canada Inc
Remote Business Insight Senior Data Analyst,CA$35K - CA$36K (Glassdoor est.),"Position Status: Full-Time - Remote

Location: Canada

Salary: $77,000-$104,00 Cdn
Position Overview:
Acting as trusted advisor to key internal customers, effectively delivering impactful insights, opinions and recommendations on key market & performance trends, opportunities, and threats. Our primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality datasets integrated with our CX program. Support ongoing data discovery, data analysis and performance KPI baseline to drive continuous improvements across the different lines of businesses.",3.2,"NTT Business Process Outsourcing
3.2",,Etobicoke,1001 to 5000 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),0,0,CAD,35.0,36.0,35.5,NTT Business Process Outsourcing
Senior Data Analyst,CA$50K - CA$70K (Glassdoor est.),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Full time
Regular",3.6,"Loblaw Companies Limited
3.6",,Brampton,10000+ Employees,,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),0,0,CAD,50.0,70.0,60.0,Loblaw Companies Limited
Software Engineer in Algorithms & Optimization - Junior,CA$90K - CA$110K (Employer est.),"Role Summary:
This is an opportunity in the exciting and fast-growing transportation technology industry. Public transit is being transformed from a system of static, scheduled fixed-routes, to a dynamic on-demand network, and you will be one of the pioneers shaping this transformation.
As the newest member of our Algorithms & Optimization team, you will contribute to the complex suite of algorithms that power RideCo’s core ridesharing platform. The ideal candidate must possess a sound grasp of Algorithms and Data Structures, strong critical thinking and reasoning skills, and the ability to produce readable, maintainable, and working software programs from abstract concepts and ideas. You will thrive in a small-team environment with fast-paced agile iterations, where every developer contributes code that delivers a meaningful impact to our customers and the company.",4.1,"RideCo
4.1",,Waterloo,51 to 200 Employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,1,CAD,90.0,110.0,100.0,RideCo
Senior Master Data Analyst,CA$64K - CA$120K (Glassdoor est.),"Job ID #349846
Senior Master Data Analyst
On behalf of our client, Procom is currently seeking a Senior Master Data Analyst to join their IT team.
You will be an important member of the Global IT & Systems team that supports business users in the Americas, Europe, Middle East, Africa, and Asia.

You will join a cross-functional team of Enterprise Integration and Data experts in the early stages of our corporate Master Data Management journey. You will leverage your extensive experience in Data Governance and Data Management to help guide our team through all stages of our MDM program.

You will be able to rely on prior MDM experience to work with key business stakeholders to document our current Master Data Assets and their related business flows. You will be expected create a well-defined Data Governance model that will help evolve these processes and to better define our sources of truth, ultimately providing cleaner data to downstream systems and processes.",3.9,"Procom
3.9",,Richmond,5001 to 10000 Employees,1978.0,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),0,0,CAD,64.0,120.0,92.0,Procom
Machine Learning Research Scientist - Biotechnology Company,CA$90K - CA$110K (Employer est.),"This is a leading company in artificial intelligence for drug discovery that has launched multiple software products, including target identification platform, and automated drug discovery platform. We are looking for a Machine Learning Scientist to join the team. You will work with product teams as well as top AI scientists in this field. We focus on AI-assisted systems that can identify novel drug targets for untreated diseases, assist in the development of new treatments and eventually predict how well those treatments may perform in clinical trials. This company was ranked Top 5 AI companies in its potential for social impact according to NVIDIA and in 2018, the company was named one of the global top 100 AI companies by CB Insights. They are growing their team in Canada and are looking for people who want to be part of this journey.

More about role:
We are seeking a Machine Learning Research Scientist for generative models in chemistry/biology. We are an end-to-end artificial intelligence-driven pharma-technology company with a mission to accelerate drug discovery and development by leveraging our rapidly-evolving proprietary platforms across biology, chemistry, and clinical development. Our Pharma.AI platform has the potential to rapidly bring novel breakthrough medicines to patients while decreasing costs and increasing the probability of success.

Machine Learning Research scientist
1215 Boulevard René-Lévesque, Montreal. Hybrid model. Coming in to office 2 days a week.
Full time and permanent
90-110k + 8.33% bonus + Benefits + 3-4 weeks’ vacation


Do you have this experience?
Desirable Skills",4.4,"Groom & Associes
4.4",,Montreal,1 to 50 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),0,1,CAD,90.0,110.0,100.0,Groom & Associes
Data Scientist II – Applied Machine Learning,CA$80K - CA$100K (Glassdoor est.),"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data.",4.0,"TD Bank
4.0",,Toronto,10000+ Employees,1855.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,CAD,80.0,100.0,90.0,TD Bank
Data Scientist II,CA$80K - CA$100K (Glassdoor est.),"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data.",4.0,"TD Bank
4.0",,Toronto,10000+ Employees,1855.0,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),0,0,CAD,80.0,100.0,90.0,TD Bank
Data Scientist/Time Series,CA$61K - CA$91K (Glassdoor est.),"Reporting directly to the Director of Data Science, this role is pivotal in implementing advanced time series solutions to deliver high quality results to clients.
You will be interacting with multi-function teams, including data integration, model development and other consulting functions to implement best practice and thought leadership.
This role also works very closely with client project sponsors to ensure client satisfaction and business requirement fulfillment.
Duties and Responsibilities
Implement currently available time series forecasting models
Develop customized forecasting algorithms required by specifications of each project",3.6,"Scarsin
3.6",,Markham,1 to 50 Employees,2002.0,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),0,0,CAD,61.0,91.0,76.0,Scarsin
,CA$100K - CA$145K (Employer est.),,-1.0,-1,,,,,,,,,0,1,CAD,100.0,145.0,122.5,-1
Data Scientist – Time series specialist,CA$38.00 Per Hour(Employer est.),"Company details:
Rocket Science provides end-to-end machine-learning strategy, development, and deployment expertise.
Our Rocket Data Scientists or “Datastronauts”, have in-depth experience and a proven track record with leveraging AI & ML solutions to explore complex business problems, build exciting models, and create real value.
Operating and launching from our HQ in Montreal, Canada. We are growing rapidly due to the huge success we are bringing to our clients.
What You’ll Do:",3.0,"Rocket Science Development
3.0",,Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,1,1,CAD,38.0,38.0,38.0,Rocket Science Development
Business Intelligence & Data Science Co-op Student,CA$92K - CA$107K (Glassdoor est.),"Location: Vancouver, British Columbia, CA
Req ID: 30251
Jobs by Category: Students and New Grads
Job Function: Co-op & Internship
Status: Full Time
Schedule: Temporary
Description

You love technology, you love to learn and you have a global mindset. You are passionate about Data Science, Big Data, Machine Learning and making a tangible difference for customers. We are part of Business Networks & Systems (BNS) of Telus Partner Solutions Group exclusively working on Wholesale and Partner customers of Telus. We are looking for someone like you to work with us to transform, modernize and automate our reporting and processes as we grow our business and deliver a world class experience for our customers. If you have a burning desire to get into ICT, Telus Partner Solutions is the best place to learn about the telecom industry, as we manage the buy and sell to traditional and non-traditional ICT companies globally. We are different because:",3.9,"TELUS
3.9",,Vancouver,10000+ Employees,1998.0,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,0,CAD,92.0,107.0,99.5,TELUS
Data Scientist / Analyst,CA$44K - CA$58K (Glassdoor est.),"Data Scientist / Analyst
Country/Region: CA
City: Victoria
Data Scientist / Analyst
Remote Canada

Underpinned by a deep understanding of technology integration, asset management, and specialist training, Babcock International works with customers around the world to improve the capability, reliability and availability of their most critical assets within the key market sectors of Marine, Land, Aviation, and Nuclear.",3.5,"Babcock International
3.5",,Victoria,10000+ Employees,1891.0,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,0,CAD,44.0,58.0,51.0,Babcock International
Data Scientist,CA$38.00 Per Hour(Employer est.),"Study2020 Consulting Inc. was first established in 2005. Over the years, it has expanded its branches to offer its services in various countries. Currently, Study2020’s headquarter is located in Vancouver, Canada, with employees from over 20 nationalities. Study2020 is a multidisciplinary, international organization that is ICEF and CCEA certified, providing comprehensive professional consultancy services in the field of education and immigration. It specializes in assessment, educational counseling, university admissions, document preparation, visa consultation, and post-arrival services.
Study2020 is now accepting applicants to fill the position of Data Scientist. The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.",-1.0,Study2020 Consulting Inc.,,Vancouver,,,,,,,1,1,CAD,38.0,38.0,38.0,Study2020 Consulting Inc.
Data Scientist,CA$80K - CA$120K (Employer est.),"Calgary, Canada
Job Description


Who we are:
Competing in a data-driven world, most businesses struggle to capture real value from data and analytics. Data management constraints cause mid-size and large companies to miss key opportunities in the value chain. Companies are left vulnerable to underwhelming performance and encroachment by competitors.

A4 Systems is a world-class team of cyber physical system product developers, transforming quality data into primary competitive advantage. A trusted partner to industries like manufacturing, agriculture, and energy, A4 builds mission-critical SaaS products for customers to achieve breakthrough performance.

We are looking for a Data Scientist who will support our product development team with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets to improve business outcomes.





Salary: $80,000.00-$120,000.00 per year",5.0,"A4 Systems
5.0",,Calgary,Unknown,,Company - Public,,,Unknown / Non-Applicable,0,1,CAD,80.0,120.0,100.0,A4 Systems
Data Scientist,CA$55K - CA$75K (Glassdoor est.),"The future you want is within reach

At PCL, we build the places where life happens and find camaraderie in the process. We’re a community of builders committed to building better communities. That’s why we’re always looking ahead, and not just to the next project or what’s next in our industry.

We’re also looking at what’s next for you and how we can help you build a career you’re proud of. As a Data Scientist at PCL, you will get the opportunity for challenging work assignments in a supportive work environment which promotes personal and professional growth.

One of our functions is data science: the application of modern data visualization techniques, machine learning techniques, and artificial intelligence to develop insights and address business challenges.",4.1,"PCL Construction
4.1",,Edmonton,1001 to 5000 Employees,1906.0,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,0,CAD,55.0,75.0,65.0,PCL Construction
Senior Data Scientist - Search & Recommendation,CA$88K - CA$130K (Glassdoor est.),"About Faire
Faire is an online wholesale marketplace built on the belief that the future is local — there are over 2 million independent retailers in North America and Europe doing more than $2 trillion in revenue. At Faire, we're using the power of tech, data, and machine learning to connect this thriving community of entrepreneurs across the globe. Picture your favorite boutique in town — we help them discover the best products from around the world to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses everywhere can compete with these big box and e-commerce giants.
By supporting the growth of independent businesses, Faire is driving positive economic impact in local communities, globally. We're looking for smart, resourceful and passionate people to join us as we power the shop local movement. If you believe in community, come join ours.",4.8,"Faire
4.9",,Toronto,201 to 500 Employees,2017.0,Company - Private,Wholesale,Retail & Wholesale,Unknown / Non-Applicable,0,0,CAD,88.0,130.0,109.0,Faire
Data scientist,CA$99K - CA$127K (Glassdoor est.),"Overview


As an engineering service provider, we serve clients who have specific needs in the areas of machine learning, data analysis and computer vision. As such, we are looking for a capable Data Scientist to join the inference team at Kinsol Research and offer his/her expertise in statistical modeling and machine learning.
Key Responsibilities:",5.0,"Kinsol Research
5.0",,Victoria West,1 to 50 Employees,,Private Practice / Firm,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,CAD,99.0,127.0,113.0,Kinsol Research
Data Scientist (Co-op),CA$61K - CA$78K (Glassdoor est.),"Here is an opportunity to join a team of talented and driven professionals working on technology solutions that help agriculture and food production. Ecoation has designed and developed an AI robotics platform that evaluates crop health in commercial greenhouses internationally, eliminating the need for mass chemical pesticide usage. With exciting products hitting the market in the coming months, we are looking for candidates who are passionate about high technology, food, innovation, and sustainability. Ecoation is seeking Data Scientist Coops to join our team.

We support our customers completely, we accomplish great things as a team, we are passionate about enabling a cleaner future for everyone, we act like owners, diversity in all that we do is our strength, success comes because we are great learners, we are persistent and forthright and realistic, and our optimistic nature allows us to take on any challenge.",4.4,"Ecoation
4.4",,North Vancouver,51 to 200 Employees,2010.0,Company - Private,Farm Support,Agriculture,Unknown / Non-Applicable,0,0,CAD,61.0,78.0,69.5,Ecoation
Data Analyst,CA$54K - CA$93K (Glassdoor est.),"Founded in 2014, Spring Financial has spent the last 7 years simplifying the lending process for millions of Canadians facing every type of financial circumstance. In the process, we’ve become the largest fintech loan originator in the country with over 50,000 monthly applicants and over 250,000 loans originated!

Many Canadians have been locked out of the financial system and are stuck without the credit they need, unable to save money and paying extremely high interest rates. At Spring, our mission is to provide all Canadians access to fair-priced financial products. We do this through a variety of products including our signature savings and credit-building product, The Foundation Loan, and our personal loan offering, the Evergreen Loan. We’ve made all of our products available to Canadians from the comfort of their own home and without having to visit a branch!",3.8,"Spring Financial Inc.
3.8",,Vancouver,51 to 200 Employees,2014.0,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,CAD,54.0,93.0,73.5,Spring Financial Inc.
Senior Data Scientist - Ads Sales (Remote),CA$129K - CA$171K (Employer est.),"[As of June 2020, Quora has become a ""remote-first"" company. This position can be performed remotely from multiple countries around the world. Please visit quora.com/eligible_countries for details regarding employment eligibility by country.]
About Quora:
The vast majority of human knowledge is still not on the internet. Most of it is trapped in the form of experience in people's heads, or buried in books and papers that only experts can access. More than a billion people use the internet, yet only a tiny fraction contribute their knowledge to it. We want to democratize access to knowledge of all kinds — from politics to painting, cooking to coding, etymology to experiences — so if someone out there knows something, anyone else can learn it. Our mission is to share and grow the world's knowledge, and we're building a world-class team to help us achieve this mission.",4.2,"Quora
4.2",,Vancouver,201 to 500 Employees,2009.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,CAD,129.0,171.0,150.0,Quora
